version,step,normalized_epoch,successes,n,success_rate,ci_low,ci_high,dataset_episodes,dataset_label,data_status,include_heatmap,session_path,trial_id,result,trial_success,steps_taken,zone,scene,target_color,target_side,target_closer,dist_px,pointing_error_deg,pointing_bucket,duck_x,duck_y
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,0,failure,0,350,ID,single_red,red,single,single,150.5257453062432,84.00578832979983,sideways,391,250
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,1,failure,0,151,ID,single_red,red,single,single,110.11357772772621,-45.52754015165618,sideways,354,257
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,2,failure,0,157,ID,single_red,red,single,single,192.62658175859323,-129.03764693535143,sideways,376,139
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,3,failure,0,132,ID,single_red,red,single,single,218.82641522448793,19.469939750778053,toward,211,391
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,4,failure,0,214,ID,single_red,red,single,single,265.13581425375185,-164.01546035486157,away,208,209
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,5,failure,0,112,ID,both_red,red,left,True,42.5440947723653,47.022161318738654,sideways,345,171
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,6,failure,0,277,ID,both_red,red,left,False,189.52572384771415,-150.77500495788925,away,406,304
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,7,failure,0,171,ID,both_red,red,right,True,48.662100242385755,178.23767779197436,away,489,263
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,8,failure,0,0,ID,both_red,red,right,False,281.12808468738945,-68.94160046963503,sideways,206,242
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,9,failure,0,0,ID,both_red,red,right,True,197.71696942852427,-84.55634405643946,sideways,438,122
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,10,failure,0,0,ID,both_black,black,left,True,99.02019995940222,179.3272307139735,away,295,390
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,11,failure,0,0,ID,both_black,black,left,False,187.8004259846074,-134.09193320041481,sideways,334,289
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,12,failure,0,0,ID,both_black,black,right,True,48.507731342539614,-27.19714496983687,toward,366,181
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,13,failure,0,0,ID,both_black,black,right,False,233.30880823492285,-93.25456825077094,sideways,292,292
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,14,failure,0,0,ID,both_black,black,left,False,193.54069339547175,1.203345844511432,toward,418,282
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,15,failure,0,0,ID,single_black,black,single,single,141.65097952361643,79.5071272924057,sideways,303,325
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,16,failure,0,0,ID,single_black,black,single,single,168.66831356244717,-69.7006537203454,sideways,336,180
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,17,failure,0,0,ID,single_black,black,single,single,36.235341863986875,32.8993393365206,toward,347,165
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,18,failure,0,0,ID,single_black,black,single,single,78.7210264160726,-2.7885131413164004,toward,263,133
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143,19,failure,0,0,ID,single_black,black,single,single,234.4013651837378,114.54683660542611,sideways,456,180
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,0,failure,0,339,ID,single_red,red,single,single,150.5257453062432,84.00578832979983,sideways,391,250
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,1,failure,0,512,ID,single_red,red,single,single,110.11357772772621,-45.52754015165618,sideways,354,257
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,2,failure,0,465,ID,single_red,red,single,single,192.62658175859323,-129.03764693535143,sideways,376,139
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,3,failure,0,364,ID,single_red,red,single,single,218.82641522448793,19.469939750778053,toward,211,391
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,4,failure,0,371,ID,single_red,red,single,single,265.13581425375185,-164.01546035486157,away,208,209
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,5,failure,0,221,ID,both_red,red,left,True,42.5440947723653,47.022161318738654,sideways,345,171
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,6,failure,0,352,ID,both_red,red,left,False,189.52572384771415,-150.77500495788925,away,406,304
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,7,failure,0,422,ID,both_red,red,right,True,48.662100242385755,178.23767779197436,away,489,263
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,8,failure,0,349,ID,both_red,red,right,False,281.12808468738945,-68.94160046963503,sideways,206,242
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,9,failure,0,599,ID,both_red,red,right,True,197.71696942852427,-84.55634405643946,sideways,438,122
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,10,failure,0,198,ID,both_black,black,left,True,99.02019995940222,179.3272307139735,away,295,390
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,11,failure,0,316,ID,both_black,black,left,False,187.8004259846074,-134.09193320041481,sideways,334,289
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,12,failure,0,511,ID,both_black,black,right,True,48.507731342539614,-27.19714496983687,toward,366,181
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,13,failure,0,591,ID,both_black,black,right,False,233.30880823492285,-93.25456825077094,sideways,292,292
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,14,failure,0,423,ID,both_black,black,left,False,193.54069339547175,1.203345844511432,toward,418,282
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,15,failure,0,221,ID,single_black,black,single,single,141.65097952361643,79.5071272924057,sideways,303,325
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,16,failure,0,401,ID,single_black,black,single,single,168.66831356244717,-69.7006537203454,sideways,336,180
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,17,failure,0,237,ID,single_black,black,single,single,36.235341863986875,32.8993393365206,toward,347,165
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,18,failure,0,245,ID,single_black,black,single,single,78.7210264160726,-2.7885131413164004,toward,263,133
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939,19,failure,0,959,ID,single_black,black,single,single,234.4013651837378,114.54683660542611,sideways,456,180
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,0,failure,0,534,ID,single_red,red,single,single,150.5257453062432,84.00578832979983,sideways,391,250
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,1,failure,0,533,ID,single_red,red,single,single,110.11357772772621,-45.52754015165618,sideways,354,257
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,2,failure,0,593,ID,single_red,red,single,single,192.62658175859323,-129.03764693535143,sideways,376,139
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,3,failure,0,467,ID,single_red,red,single,single,218.82641522448793,19.469939750778053,toward,211,391
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,4,failure,0,276,ID,single_red,red,single,single,265.13581425375185,-164.01546035486157,away,208,209
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,5,failure,0,395,ID,both_red,red,left,True,42.5440947723653,47.022161318738654,sideways,345,171
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,6,failure,0,292,ID,both_red,red,left,False,189.52572384771415,-150.77500495788925,away,406,304
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,7,failure,0,547,ID,both_red,red,right,True,48.662100242385755,178.23767779197436,away,489,263
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,8,failure,0,317,ID,both_red,red,right,False,281.12808468738945,-68.94160046963503,sideways,206,242
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,9,failure,0,375,ID,both_red,red,right,True,197.71696942852427,-84.55634405643946,sideways,438,122
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,10,failure,0,209,ID,both_black,black,left,True,99.02019995940222,179.3272307139735,away,295,390
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,11,failure,0,232,ID,both_black,black,left,False,187.8004259846074,-134.09193320041481,sideways,334,289
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,12,success,1,477,ID,both_black,black,right,True,48.507731342539614,-27.19714496983687,toward,366,181
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,13,failure,0,386,ID,both_black,black,right,False,233.30880823492285,-93.25456825077094,sideways,292,292
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,14,failure,0,322,ID,both_black,black,left,False,193.54069339547175,1.203345844511432,toward,418,282
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,15,failure,0,481,ID,single_black,black,single,single,141.65097952361643,79.5071272924057,sideways,303,325
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,16,failure,0,300,ID,single_black,black,single,single,168.66831356244717,-69.7006537203454,sideways,336,180
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,17,failure,0,203,ID,single_black,black,single,single,36.235341863986875,32.8993393365206,toward,347,165
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,18,failure,0,490,ID,single_black,black,single,single,78.7210264160726,-2.7885131413164004,toward,263,133
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147,19,failure,0,457,ID,single_black,black,single,single,234.4013651837378,114.54683660542611,sideways,456,180
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,0,failure,0,655,ID,single_red,red,single,single,150.5257453062432,84.00578832979983,sideways,391,250
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,1,failure,0,279,ID,single_red,red,single,single,110.11357772772621,-45.52754015165618,sideways,354,257
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,2,failure,0,501,ID,single_red,red,single,single,192.62658175859323,-129.03764693535143,sideways,376,139
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,3,failure,0,423,ID,single_red,red,single,single,218.82641522448793,19.469939750778053,toward,211,391
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,4,failure,0,659,ID,single_red,red,single,single,265.13581425375185,-164.01546035486157,away,208,209
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,5,failure,0,454,ID,both_red,red,left,True,42.5440947723653,47.022161318738654,sideways,345,171
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,6,failure,0,497,ID,both_red,red,left,False,189.52572384771415,-150.77500495788925,away,406,304
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,7,failure,0,473,ID,both_red,red,right,True,48.662100242385755,178.23767779197436,away,489,263
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,8,failure,0,492,ID,both_red,red,right,False,281.12808468738945,-68.94160046963503,sideways,206,242
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,9,failure,0,616,ID,both_red,red,right,True,197.71696942852427,-84.55634405643946,sideways,438,122
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,10,failure,0,187,ID,both_black,black,left,True,99.02019995940222,179.3272307139735,away,295,390
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,11,failure,0,280,ID,both_black,black,left,False,187.8004259846074,-134.09193320041481,sideways,334,289
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,12,failure,0,593,ID,both_black,black,right,True,48.507731342539614,-27.19714496983687,toward,366,181
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515,13,failure,0,413,ID,both_black,black,right,False,233.30880823492285,-93.25456825077094,sideways,292,292
